Date,Location,Store_ID,Product_Category,Product_ID,Product_Name,Units_Sold,Unit_Price,Discount_Offered (%),Payment_Method,Customer_Age_Group,Customer_Gender,Sales_Representative_ID,Customer_Rating
20-01-2023,Ahmedabad,CROMA-9931,Home Appliances,P-86706,Home Appliances 16,8,37919.27,0,Debit Card,18-25,Non-Binary,SR-844,4.8
26-01-2023,Pune,CROMA-2497,Televisions,P-90025,Televisions 2,9,20619.4,15,EMI,18-25,Female,SR-157,4.1
13-01-2023,Kolkata,CROMA-3235,Televisions,P-91312,Televisions 6,2,46251.77,10,Cash,26-35,Non-Binary,SR-971,4.7
20-01-2023,Ahmedabad,CROMA-8654,Cameras,P-39791,Cameras 10,7,41414.26,5,EMI,18-25,Non-Binary,SR-435,4.7
27-01-2023,Chennai,CROMA-1169,Home Appliances,P-15529,Home Appliances 11,3,30254.42,5,Cash,18-25,Non-Binary,SR-732,4.7
01-01-2023,Ahmedabad,CROMA-9577,Cameras,P-31577,Cameras 10,1,34325.92,5,Cash,18-25,Male,SR-255,4.9
23-01-2023,Bangalore,CROMA-5744,Laptops,P-68570,Laptops 1,3,20007.09,10,EMI,18-25,Non-Binary,SR-886,3
06-01-2023,Bangalore,CROMA-1685,Televisions,P-59943,Televisions 9,4,41741.8,0,Credit Card,46-60,Male,SR-945,4.5
24-01-2023,Delhi,CROMA-8726,Mobile Phones,P-76793,Mobile Phones 16,6,46774.2,10,Cash,46-60,Non-Binary,SR-846,4.2
09-01-2023,Mumbai,CROMA-1747,Televisions,P-23423,Televisions 8,10,23888.06,0,UPI,18-25,Female,SR-936,3.4
14-01-2023,Hyderabad,CROMA-3049,Mobile Phones,P-69635,Mobile Phones 17,9,14425.83,5,Cash,46-60,Non-Binary,SR-807,3.5
09-01-2023,Kolkata,CROMA-8479,Laptops,P-50978,Laptops 19,10,11376.04,10,Debit Card,26-35,Male,SR-322,4
14-01-2023,Pune,CROMA-2695,Cameras,P-27899,Cameras 18,6,24066.63,15,Debit Card,36-45,Male,SR-512,4.2
19-01-2023,Ahmedabad,CROMA-4054,Mobile Phones,P-95636,Mobile Phones 5,10,32404.55,10,Credit Card,18-25,Female,SR-505,4.2
10-01-2023,Pune,CROMA-7994,Cameras,P-73486,Cameras 14,5,33459.06,15,UPI,46-60,Non-Binary,SR-243,4.9
17-01-2023,Bangalore,CROMA-9415,Laptops,P-77455,Laptops 14,4,24866,10,Credit Card,26-35,Female,SR-354,3
02-01-2023,Chennai,CROMA-8621,Televisions,P-33225,Televisions 15,7,39963.91,0,Credit Card,46-60,Female,SR-221,4.2
17-01-2023,Ahmedabad,CROMA-1314,Televisions,P-97512,Televisions 17,4,10831.58,5,UPI,18-25,Non-Binary,SR-261,4.7
04-01-2023,Pune,CROMA-7840,Cameras,P-67365,Cameras 17,1,45439.11,10,UPI,36-45,Non-Binary,SR-299,3.3
12-01-2023,Bangalore,CROMA-9613,Laptops,P-96858,Laptops 15,9,6027.92,10,EMI,46-60,Non-Binary,SR-404,4.5
12-01-2023,Delhi,CROMA-3201,Televisions,P-35731,Televisions 18,3,35502.99,0,EMI,18-25,Male,SR-450,3.4
08-01-2023,Ahmedabad,CROMA-9922,Home Appliances,P-17404,Home Appliances 7,7,26404.65,5,Debit Card,36-45,Male,SR-491,4.3
16-01-2023,Chennai,CROMA-7193,Televisions,P-53431,Televisions 17,5,48425.87,15,Credit Card,18-25,Female,SR-555,4.5
07-01-2023,Bangalore,CROMA-1493,Mobile Phones,P-82146,Mobile Phones 6,9,21480.45,15,EMI,36-45,Male,SR-278,3.4
25-01-2023,Ahmedabad,CROMA-6646,Home Appliances,P-43362,Home Appliances 4,7,21911.29,10,Debit Card,26-35,Non-Binary,SR-609,3.8
02-01-2023,Chennai,CROMA-8737,Mobile Phones,P-15793,Mobile Phones 2,7,20446.36,15,Cash,36-45,Non-Binary,SR-159,3.2
14-01-2023,Kolkata,CROMA-3169,Home Appliances,P-21509,Home Appliances 1,8,14544.38,5,Credit Card,46-60,Non-Binary,SR-327,3.2
24-01-2023,Kolkata,CROMA-3983,Laptops,P-75445,Laptops 9,4,8832.97,0,Debit Card,46-60,Non-Binary,SR-222,4.1
26-01-2023,Pune,CROMA-3928,Cameras,P-37655,Cameras 13,7,47698.25,0,EMI,26-35,Female,SR-958,3.7
03-01-2023,Delhi,CROMA-6398,Home Appliances,P-36593,Home Appliances 7,4,42719.42,15,EMI,46-60,Non-Binary,SR-427,3.8
12-01-2023,Bangalore,CROMA-6114,Cameras,P-67703,Cameras 6,4,10345.98,15,Cash,18-25,Male,SR-717,3.4
13-01-2023,Bangalore,CROMA-1016,Laptops,P-47212,Laptops 12,3,34953.79,15,Credit Card,18-25,Male,SR-250,4.9
19-01-2023,Kolkata,CROMA-2245,Laptops,P-11912,Laptops 19,3,26358.01,5,Debit Card,46-60,Male,SR-237,4.1
01-01-2023,Kolkata,CROMA-3854,Mobile Phones,P-17559,Mobile Phones 5,9,17410.71,15,UPI,36-45,Male,SR-883,3.8
03-01-2023,Delhi,CROMA-8910,Televisions,P-10686,Televisions 18,10,12607.02,5,EMI,26-35,Female,SR-146,3.3
15-01-2023,Kolkata,CROMA-3398,Laptops,P-74961,Laptops 15,7,7140.68,0,EMI,46-60,Non-Binary,SR-665,4.2
21-01-2023,Chennai,CROMA-7049,Laptops,P-20246,Laptops 3,2,39233.93,0,Debit Card,36-45,Female,SR-207,4.9
20-01-2023,Mumbai,CROMA-6092,Cameras,P-50803,Cameras 9,1,7501.95,0,Debit Card,46-60,Male,SR-924,4.6
20-01-2023,Chennai,CROMA-8725,Cameras,P-40250,Cameras 13,10,17390.38,0,Credit Card,46-60,Female,SR-296,3.1
20-01-2023,Bangalore,CROMA-4516,Televisions,P-97735,Televisions 12,8,41873.34,0,Cash,36-45,Female,SR-319,3.4
09-01-2023,Kolkata,CROMA-8872,Home Appliances,P-43940,Home Appliances 4,1,42007.11,0,EMI,18-25,Female,SR-561,4.7
13-01-2023,Kolkata,CROMA-6924,Cameras,P-18065,Cameras 3,3,15566.52,0,EMI,18-25,Male,SR-475,3.3
09-01-2023,Bangalore,CROMA-3305,Laptops,P-29500,Laptops 12,6,11303.1,0,EMI,18-25,Non-Binary,SR-476,3.3
12-01-2023,Hyderabad,CROMA-4796,Cameras,P-52876,Cameras 20,10,47026.67,0,Debit Card,46-60,Male,SR-901,4
12-01-2023,Kolkata,CROMA-7506,Home Appliances,P-66160,Home Appliances 18,3,38854.56,0,Cash,36-45,Male,SR-454,3.9
21-01-2023,Bangalore,CROMA-2696,Laptops,P-64675,Laptops 19,7,5305.06,10,EMI,36-45,Non-Binary,SR-939,4.1
02-01-2023,Bangalore,CROMA-6550,Laptops,P-91718,Laptops 18,1,38978.91,0,Cash,26-35,Male,SR-323,4.8
01-01-2023,Chennai,CROMA-5239,Home Appliances,P-78335,Home Appliances 20,10,18688.96,0,UPI,46-60,Female,SR-740,4.3
02-01-2023,Ahmedabad,CROMA-2609,Televisions,P-91860,Televisions 15,1,17571.77,0,Credit Card,36-45,Non-Binary,SR-908,3.7
23-01-2023,Hyderabad,CROMA-8314,Televisions,P-62373,Televisions 17,10,39171,15,EMI,36-45,Non-Binary,SR-715,4.3
26-01-2023,Chennai,CROMA-6901,Televisions,P-30186,Televisions 1,10,20625.53,15,UPI,26-35,Non-Binary,SR-200,4.5
20-01-2023,Hyderabad,CROMA-4979,Home Appliances,P-73620,Home Appliances 11,7,6350.12,0,Credit Card,46-60,Female,SR-802,4.6
06-01-2023,Kolkata,CROMA-8144,Home Appliances,P-82727,Home Appliances 20,7,40556.23,10,EMI,18-25,Female,SR-542,4.5
25-01-2023,Mumbai,CROMA-8030,Laptops,P-96093,Laptops 4,1,17013.79,15,UPI,18-25,Male,SR-369,3.4
08-01-2023,Kolkata,CROMA-5356,Laptops,P-30311,Laptops 8,9,43786.11,10,UPI,36-45,Non-Binary,SR-767,3.5
09-01-2023,Ahmedabad,CROMA-6295,Laptops,P-50907,Laptops 18,10,28996.51,10,EMI,18-25,Non-Binary,SR-732,4.5
15-01-2023,Chennai,CROMA-5166,Mobile Phones,P-45967,Mobile Phones 5,1,35908.94,0,UPI,46-60,Female,SR-697,3
04-01-2023,Chennai,CROMA-1654,Laptops,P-99884,Laptops 6,4,33881.48,10,Debit Card,26-35,Non-Binary,SR-612,3.2
21-01-2023,Ahmedabad,CROMA-7121,Cameras,P-16317,Cameras 5,5,26147.35,5,UPI,26-35,Male,SR-843,5
07-01-2023,Kolkata,CROMA-7956,Mobile Phones,P-87802,Mobile Phones 16,5,29839.73,15,Credit Card,36-45,Female,SR-275,4
05-01-2023,Pune,CROMA-5272,Home Appliances,P-68363,Home Appliances 10,3,16811.04,0,EMI,36-45,Female,SR-961,4.2
21-01-2023,Bangalore,CROMA-5493,Cameras,P-69623,Cameras 5,3,9095.69,10,Debit Card,18-25,Non-Binary,SR-201,3.2
18-01-2023,Bangalore,CROMA-8613,Mobile Phones,P-32109,Mobile Phones 3,3,47283.62,5,Credit Card,26-35,Male,SR-434,3.2
08-01-2023,Pune,CROMA-8026,Laptops,P-72677,Laptops 3,1,22221.19,15,Debit Card,46-60,Non-Binary,SR-340,4.9
19-01-2023,Delhi,CROMA-4685,Laptops,P-34321,Laptops 9,2,36003.97,10,Cash,36-45,Male,SR-954,4.5
18-01-2023,Hyderabad,CROMA-1047,Cameras,P-60017,Cameras 7,6,45940.33,5,UPI,26-35,Female,SR-274,4.3
26-01-2023,Hyderabad,CROMA-2248,Mobile Phones,P-59427,Mobile Phones 10,5,33217.3,5,Credit Card,36-45,Non-Binary,SR-275,3.7
28-01-2023,Chennai,CROMA-2986,Mobile Phones,P-55426,Mobile Phones 9,10,44470.15,5,EMI,26-35,Male,SR-193,3.3
28-01-2023,Bangalore,CROMA-3241,Laptops,P-61902,Laptops 1,7,29860.79,10,UPI,26-35,Female,SR-276,3.2
28-01-2023,Hyderabad,CROMA-2046,Home Appliances,P-77337,Home Appliances 10,5,9979.27,5,Credit Card,18-25,Female,SR-660,3.8
12-01-2023,Pune,CROMA-6005,Cameras,P-35906,Cameras 8,5,24272.88,15,Debit Card,36-45,Female,SR-522,4
02-01-2023,Pune,CROMA-2820,Cameras,P-53387,Cameras 1,7,17569.78,15,UPI,46-60,Female,SR-356,3
17-01-2023,Chennai,CROMA-7127,Televisions,P-59032,Televisions 2,1,35713.29,15,UPI,36-45,Female,SR-264,3.4
08-01-2023,Bangalore,CROMA-3462,Cameras,P-19329,Cameras 5,1,35446.75,15,Cash,36-45,Non-Binary,SR-924,4.7
05-01-2023,Hyderabad,CROMA-8034,Cameras,P-44396,Cameras 17,3,17873.31,10,Credit Card,18-25,Non-Binary,SR-505,4.9
02-01-2023,Chennai,CROMA-2212,Home Appliances,P-92273,Home Appliances 10,1,29787.06,0,UPI,36-45,Non-Binary,SR-338,3.6
22-01-2023,Hyderabad,CROMA-7309,Home Appliances,P-98574,Home Appliances 17,2,49755.43,0,Cash,26-35,Non-Binary,SR-745,4.9
24-01-2023,Ahmedabad,CROMA-8349,Mobile Phones,P-75028,Mobile Phones 15,7,13503.85,5,UPI,18-25,Male,SR-495,4.3
27-01-2023,Pune,CROMA-7277,Home Appliances,P-46056,Home Appliances 17,1,16870.68,10,Credit Card,18-25,Female,SR-569,4.9
15-01-2023,Mumbai,CROMA-2699,Home Appliances,P-91379,Home Appliances 3,6,48907.78,0,EMI,18-25,Male,SR-950,3.5
17-02-2023,Mumbai,CROMA-5750,Home Appliances,P-22685,Home Appliances 6,2,23589.53,15,UPI,18-25,Male,SR-418,4.7
02-02-2023,Mumbai,CROMA-9545,Mobile Phones,P-18632,Mobile Phones 16,3,13923.39,5,Credit Card,46-60,Male,SR-372,3.3
22-02-2023,Bangalore,CROMA-5185,Televisions,P-26257,Televisions 10,4,36092.21,5,UPI,36-45,Non-Binary,SR-212,3.8
06-02-2023,Hyderabad,CROMA-3435,Home Appliances,P-80192,Home Appliances 19,8,15711.34,0,Debit Card,26-35,Non-Binary,SR-343,4.8
22-02-2023,Chennai,CROMA-1007,Laptops,P-65763,Laptops 20,2,24382.83,0,EMI,36-45,Male,SR-283,4
28-02-2023,Hyderabad,CROMA-7116,Mobile Phones,P-49231,Mobile Phones 10,2,24761.84,0,EMI,18-25,Non-Binary,SR-587,3.2
11-02-2023,Kolkata,CROMA-2710,Cameras,P-85416,Cameras 14,10,34218.15,10,Credit Card,26-35,Male,SR-508,4.3
23-02-2023,Mumbai,CROMA-3400,Mobile Phones,P-50597,Mobile Phones 8,7,8650.61,5,Cash,18-25,Male,SR-206,3.3
12-02-2023,Kolkata,CROMA-6992,Home Appliances,P-81996,Home Appliances 10,3,26538.01,15,EMI,18-25,Non-Binary,SR-875,4.1
21-02-2023,Mumbai,CROMA-6965,Laptops,P-95091,Laptops 1,6,27369.69,15,UPI,26-35,Female,SR-703,4.5
06-02-2023,Mumbai,CROMA-6764,Televisions,P-53883,Televisions 4,5,46163.54,0,EMI,46-60,Non-Binary,SR-873,3.2
25-02-2023,Delhi,CROMA-2838,Cameras,P-33532,Cameras 14,3,32004.36,0,Debit Card,26-35,Male,SR-919,4.6
03-02-2023,Ahmedabad,CROMA-1873,Cameras,P-15035,Cameras 11,3,46679.13,10,Cash,46-60,Female,SR-243,4.6
01-02-2023,Bangalore,CROMA-5378,Cameras,P-61419,Cameras 11,9,36671.93,0,Debit Card,18-25,Male,SR-285,4.3
22-02-2023,Pune,CROMA-8084,Mobile Phones,P-10753,Mobile Phones 16,2,25728.99,15,UPI,18-25,Female,SR-843,5
22-02-2023,Ahmedabad,CROMA-6722,Televisions,P-54565,Televisions 10,7,28786.3,0,UPI,46-60,Male,SR-196,4.5
16-02-2023,Ahmedabad,CROMA-4933,Cameras,P-97982,Cameras 1,3,26269.26,10,Debit Card,46-60,Female,SR-975,4.5
05-02-2023,Hyderabad,CROMA-3743,Laptops,P-48682,Laptops 19,5,48750.07,5,Cash,18-25,Female,SR-714,3.7
12-02-2023,Delhi,CROMA-7840,Home Appliances,P-92899,Home Appliances 3,9,9190.86,15,Credit Card,18-25,Non-Binary,SR-160,3.7
02-02-2023,Delhi,CROMA-1753,Home Appliances,P-78294,Home Appliances 8,5,30564.26,5,Credit Card,18-25,Female,SR-768,4.2
11-02-2023,Mumbai,CROMA-3314,Televisions,P-66262,Televisions 10,7,28762.75,10,Debit Card,36-45,Female,SR-811,4.8
17-02-2023,Kolkata,CROMA-7989,Laptops,P-51645,Laptops 20,9,42449.18,15,EMI,26-35,Female,SR-186,4.5
03-02-2023,Delhi,CROMA-9372,Laptops,P-84605,Laptops 13,10,19886.75,15,EMI,26-35,Non-Binary,SR-227,3.1
18-02-2023,Kolkata,CROMA-5019,Laptops,P-42968,Laptops 18,7,18002.47,15,Credit Card,36-45,Female,SR-360,3.6
24-02-2023,Chennai,CROMA-2815,Mobile Phones,P-27914,Mobile Phones 18,3,8447.89,0,Credit Card,26-35,Non-Binary,SR-515,3.3
14-02-2023,Bangalore,CROMA-7684,Televisions,P-32048,Televisions 1,5,19491.97,10,EMI,18-25,Male,SR-194,4.4
27-02-2023,Pune,CROMA-5282,Cameras,P-31283,Cameras 20,5,22241.36,0,Credit Card,36-45,Male,SR-233,3.8
04-02-2023,Kolkata,CROMA-2517,Laptops,P-95867,Laptops 1,10,15392.93,10,Cash,18-25,Female,SR-443,4.4
03-02-2023,Pune,CROMA-4302,Cameras,P-20607,Cameras 19,6,25742.78,10,Credit Card,18-25,Female,SR-669,3.8
03-02-2023,Bangalore,CROMA-2993,Televisions,P-53131,Televisions 14,5,15673.97,0,Credit Card,46-60,Female,SR-517,3.4
05-02-2023,Bangalore,CROMA-9925,Cameras,P-97203,Cameras 14,2,34564.68,5,Cash,18-25,Non-Binary,SR-718,4.1
06-02-2023,Ahmedabad,CROMA-6108,Cameras,P-89301,Cameras 7,7,45321.67,15,Cash,46-60,Male,SR-442,3.1
27-02-2023,Ahmedabad,CROMA-5800,Home Appliances,P-76447,Home Appliances 16,1,43740.99,15,Cash,46-60,Male,SR-189,4
02-02-2023,Bangalore,CROMA-5523,Cameras,P-18724,Cameras 11,1,17668.94,15,Debit Card,36-45,Male,SR-939,3.7
22-02-2023,Chennai,CROMA-6024,Laptops,P-98061,Laptops 1,9,9495.89,5,EMI,36-45,Female,SR-856,4.2
22-02-2023,Hyderabad,CROMA-6736,Home Appliances,P-35480,Home Appliances 8,8,39433.1,0,Cash,18-25,Male,SR-990,3.9
14-02-2023,Chennai,CROMA-9089,Televisions,P-79237,Televisions 2,9,35246.22,10,EMI,46-60,Non-Binary,SR-276,3.3
01-02-2023,Chennai,CROMA-2930,Cameras,P-48542,Cameras 2,6,36145.42,10,Credit Card,46-60,Male,SR-286,3.8
05-02-2023,Kolkata,CROMA-5391,Televisions,P-61428,Televisions 7,1,49816.01,10,Credit Card,36-45,Non-Binary,SR-447,4.7
20-02-2023,Ahmedabad,CROMA-4354,Mobile Phones,P-49563,Mobile Phones 16,8,15386.66,5,EMI,36-45,Female,SR-500,4.5
02-02-2023,Ahmedabad,CROMA-3312,Cameras,P-23726,Cameras 19,9,44148.67,0,UPI,46-60,Female,SR-359,4.6
12-02-2023,Bangalore,CROMA-7055,Home Appliances,P-30862,Home Appliances 10,8,37249.17,15,Debit Card,36-45,Non-Binary,SR-334,3.2
05-02-2023,Delhi,CROMA-6144,Televisions,P-31927,Televisions 14,1,36912.27,5,Credit Card,46-60,Male,SR-960,3.8
21-02-2023,Kolkata,CROMA-1533,Televisions,P-98925,Televisions 10,4,23414.43,0,Debit Card,26-35,Female,SR-841,3.6
25-02-2023,Bangalore,CROMA-9485,Laptops,P-79819,Laptops 19,6,12361.29,15,Cash,18-25,Male,SR-510,3.1
13-02-2023,Hyderabad,CROMA-5834,Mobile Phones,P-27506,Mobile Phones 10,2,22249.7,15,Debit Card,26-35,Non-Binary,SR-560,3.7
12-02-2023,Chennai,CROMA-8311,Laptops,P-35438,Laptops 18,10,12459.86,0,UPI,18-25,Male,SR-911,4.1
15-02-2023,Hyderabad,CROMA-7322,Mobile Phones,P-50480,Mobile Phones 16,9,46376.95,0,EMI,46-60,Non-Binary,SR-305,3.1
05-02-2023,Hyderabad,CROMA-6611,Cameras,P-62983,Cameras 9,10,16059.22,0,UPI,26-35,Non-Binary,SR-452,3.6
09-02-2023,Ahmedabad,CROMA-4112,Televisions,P-88514,Televisions 18,1,17639.25,15,EMI,18-25,Non-Binary,SR-863,4.5
12-02-2023,Chennai,CROMA-2818,Laptops,P-74361,Laptops 2,7,43151.89,5,Cash,36-45,Female,SR-523,4.8
09-02-2023,Bangalore,CROMA-8087,Home Appliances,P-47070,Home Appliances 7,9,31567.22,10,UPI,18-25,Non-Binary,SR-892,4
03-02-2023,Delhi,CROMA-7875,Televisions,P-73773,Televisions 3,10,24735.99,15,Cash,26-35,Male,SR-736,4.3
06-02-2023,Hyderabad,CROMA-1323,Cameras,P-50824,Cameras 2,6,5077.15,10,UPI,36-45,Non-Binary,SR-671,4.4
12-02-2023,Hyderabad,CROMA-7959,Cameras,P-72795,Cameras 6,8,17847.43,10,Cash,26-35,Female,SR-272,4.6
10-02-2023,Pune,CROMA-4248,Mobile Phones,P-81816,Mobile Phones 17,2,30443.17,10,Cash,26-35,Non-Binary,SR-221,4.8
16-02-2023,Mumbai,CROMA-3290,Laptops,P-74809,Laptops 15,1,21751.69,0,Credit Card,36-45,Non-Binary,SR-299,3.8
11-02-2023,Hyderabad,CROMA-5161,Televisions,P-26925,Televisions 7,2,12816.63,15,Debit Card,26-35,Male,SR-144,4.3
17-02-2023,Bangalore,CROMA-3911,Laptops,P-62581,Laptops 13,5,39992.64,0,Debit Card,26-35,Male,SR-949,5
13-02-2023,Ahmedabad,CROMA-8327,Laptops,P-49430,Laptops 10,4,21506.91,5,EMI,18-25,Female,SR-912,3.4
06-02-2023,Delhi,CROMA-2761,Cameras,P-33615,Cameras 17,6,21775.55,10,UPI,36-45,Male,SR-280,4.9
10-02-2023,Bangalore,CROMA-7787,Cameras,P-93089,Cameras 9,5,46166.57,10,Credit Card,46-60,Non-Binary,SR-701,4.1
11-02-2023,Pune,CROMA-8235,Cameras,P-41096,Cameras 11,4,35524.26,15,Credit Card,46-60,Non-Binary,SR-387,3.1
03-02-2023,Pune,CROMA-6601,Cameras,P-30496,Cameras 8,1,29678.07,0,Cash,26-35,Male,SR-843,3
14-02-2023,Hyderabad,CROMA-2158,Televisions,P-44965,Televisions 9,8,30114.78,5,UPI,26-35,Male,SR-171,3.7
04-02-2023,Hyderabad,CROMA-2163,Laptops,P-75137,Laptops 13,1,17174.37,10,EMI,26-35,Female,SR-392,4.5
19-02-2023,Chennai,CROMA-6932,Cameras,P-24086,Cameras 8,1,46728.05,15,Debit Card,26-35,Female,SR-514,3.4
14-02-2023,Mumbai,CROMA-3958,Cameras,P-61535,Cameras 3,10,12783.19,10,EMI,26-35,Female,SR-687,3.5
26-02-2023,Mumbai,CROMA-8785,Cameras,P-26831,Cameras 6,10,26898.37,15,Debit Card,46-60,Non-Binary,SR-288,3.4
21-02-2023,Pune,CROMA-6935,Laptops,P-50620,Laptops 1,3,11729.98,0,EMI,26-35,Non-Binary,SR-295,4.9
05-02-2023,Hyderabad,CROMA-1921,Televisions,P-84699,Televisions 15,7,28218.99,5,UPI,18-25,Female,SR-191,4
07-02-2023,Bangalore,CROMA-3552,Home Appliances,P-67895,Home Appliances 15,10,39189.55,0,Credit Card,26-35,Female,SR-475,4.6
01-02-2023,Chennai,CROMA-8240,Cameras,P-69917,Cameras 11,1,33321.45,10,Cash,36-45,Female,SR-789,4
10-02-2023,Chennai,CROMA-7780,Cameras,P-76426,Cameras 4,2,38271.92,10,Credit Card,36-45,Male,SR-982,3.5
11-02-2023,Chennai,CROMA-7304,Laptops,P-95347,Laptops 4,5,5511.18,0,Cash,26-35,Non-Binary,SR-681,3.7
17-02-2023,Pune,CROMA-6227,Laptops,P-41889,Laptops 18,10,47537.81,0,Debit Card,18-25,Non-Binary,SR-697,3.6
08-02-2023,Ahmedabad,CROMA-6009,Mobile Phones,P-61235,Mobile Phones 2,8,10274.74,0,EMI,18-25,Male,SR-393,3.1
14-02-2023,Bangalore,CROMA-9431,Televisions,P-12264,Televisions 9,6,35520.06,10,Credit Card,26-35,Non-Binary,SR-982,4.6
16-02-2023,Delhi,CROMA-2262,Laptops,P-77410,Laptops 14,4,9414.03,10,Debit Card,36-45,Male,SR-917,3.4
27-02-2023,Mumbai,CROMA-8562,Home Appliances,P-88494,Home Appliances 2,2,10608.88,5,Debit Card,18-25,Female,SR-510,4.3
14-02-2023,Mumbai,CROMA-3873,Mobile Phones,P-29653,Mobile Phones 13,10,35769.37,0,Cash,36-45,Female,SR-772,5
07-02-2023,Ahmedabad,CROMA-7613,Laptops,P-18872,Laptops 10,3,44133.22,10,EMI,36-45,Female,SR-216,3.9
12-02-2023,Ahmedabad,CROMA-7933,Laptops,P-55560,Laptops 1,5,34640.78,15,Cash,26-35,Male,SR-816,3.8
22-02-2023,Ahmedabad,CROMA-2033,Home Appliances,P-20774,Home Appliances 14,8,8768.15,10,Debit Card,26-35,Male,SR-986,4.8
23-02-2023,Delhi,CROMA-9202,Mobile Phones,P-19306,Mobile Phones 4,9,27053,10,Credit Card,36-45,Male,SR-983,3.4
20-02-2023,Mumbai,CROMA-4435,Laptops,P-27788,Laptops 11,5,6821.2,5,UPI,46-60,Male,SR-506,4.3
05-02-2023,Mumbai,CROMA-6900,Cameras,P-65654,Cameras 12,8,42961.01,0,Cash,18-25,Female,SR-192,4.8
13-02-2023,Delhi,CROMA-1870,Home Appliances,P-81186,Home Appliances 18,7,22587.38,0,Credit Card,36-45,Non-Binary,SR-191,3.2
19-02-2023,Pune,CROMA-3554,Cameras,P-61741,Cameras 4,10,33927.6,10,EMI,46-60,Female,SR-509,4.5
21-02-2023,Bangalore,CROMA-6947,Laptops,P-30198,Laptops 14,2,23915.23,15,Credit Card,36-45,Non-Binary,SR-240,4.8
01-02-2023,Chennai,CROMA-9971,Mobile Phones,P-85089,Mobile Phones 17,2,7775.62,10,EMI,18-25,Non-Binary,SR-626,4.5
13-02-2023,Chennai,CROMA-7911,Laptops,P-17541,Laptops 10,10,11702.42,5,Cash,36-45,Non-Binary,SR-929,4.3
25-02-2023,Hyderabad,CROMA-6246,Cameras,P-50190,Cameras 13,4,20872.01,5,Debit Card,36-45,Male,SR-919,3.1
13-02-2023,Ahmedabad,CROMA-7683,Televisions,P-34651,Televisions 15,5,42378.54,0,Cash,18-25,Non-Binary,SR-162,3.9
21-02-2023,Ahmedabad,CROMA-2671,Home Appliances,P-96128,Home Appliances 10,3,22880.04,0,EMI,26-35,Female,SR-784,4.5
